Looking for PortfolioManager address starting with 0x40Ac2e...
(Case-insensitive: will match 0x40Ac2e, 0x40ac2e, 0x40AC2E, etc.)
Deployer address: 0x40FecA5f7156030b78200450852792ea93f7c6cd
Generating bytecode...
Bytecode hash: 0x6bacbee0128635d7bcd8eaf92b8a47421f98d9bb390060519ed422713ef074e3
Starting search...
Target prefix: 0x40Ac2e... (first 6 hex characters, case-insensitive)
Press Ctrl+C to stop

Attempts: 15,500,000 | Speed: 1152/s | Current: 0x63ca2b9fd987a220fa41525bc0743b195cb9c784
Attempts: 15,600,000 | Speed: 1152/s | Current: 0xfc3d319d8805492dd11ba82c07f236cb2c045196
Attempts: 15,700,000 | Speed: 1152/s | Current: 0xde8de02c42dbc202f84665d1cb2f13bf223d39d1
Attempts: 15,800,000 | Speed: 1152/s | Current: 0xf8314c73405e639b99a412500dce5d8a05c66379
Attempts: 15,900,000 | Speed: 1152/s | Current: 0x0918f460f73a75dfcf56dce6ec556d99db5aee36
Attempts: 16,000,000 | Speed: 1152/s | Current: 0xe83e80501b26fc594384b6b5c76d7024196a3926
Attempts: 16,100,000 | Speed: 1152/s | Current: 0x7949ae372d7b3fd541d21fcf9d9550e9682d232e
Attempts: 16,200,000 | Speed: 1152/s | Current: 0x7bdabc3f74118f27d81c419613c5ccbf4b3a4d66
Attempts: 16,300,000 | Speed: 1152/s | Current: 0x367506086a535c9c3ad0796f1ed94993e1b4d770
Attempts: 16,400,000 | Speed: 1152/s | Current: 0xb0f9901b293e106cb0010510e554e1b36526dcff
Attempts: 16,500,000 | Speed: 1152/s | Current: 0x9c631132f8d9e1da03c4e44c3faaef70d64385e3
Attempts: 16,600,000 | Speed: 1152/s | Current: 0xf62fa41fd038b69d8ab56df455a794d9be54b833
Attempts: 16,700,000 | Speed: 1152/s | Current: 0x4872ba2b11f8aaf3dca07c01c3ba211fe9ac0305
Attempts: 16,800,000 | Speed: 1152/s | Current: 0x04f314865faa79cdb127dba7d3c6cc2f810021f6
